cycle_index,n_batteries,value_mean,value_median,value_std,value_lower_quantile,value_upper_quantile,value,aggregation_method,source_value_column
1.0,14,4.198292520500222,4.19486257614461,0.04499485973581177,4.158965027498655,4.225099218837909,4.19486257614461,median,C/D
2.0,14,1.4372109055058573,1.4342540108755224,0.015817420955387695,1.4266940681399705,1.447255685955161,1.4342540108755224,median,C/D
3.0,14,1.4280263241684725,1.426066831379722,0.014249555146873148,1.4181818140468267,1.4359794233952103,1.426066831379722,median,C/D
4.0,14,1.4189193037317567,1.4158587600356045,0.014570919983152986,1.4114746515188938,1.4257093398513483,1.4158587600356045,median,C/D
7.0,13,1.8170305809666152,1.810679817519796,0.025954123879180332,1.803153508143478,1.8220448091639792,1.810679817519796,median,C/D
8.0,14,0.9850312421858638,0.99883729585251,0.046109088627027756,0.9912831716830961,1.001542743438618,0.99883729585251,median,C/D
9.0,14,0.9941768066501694,0.9940819712258918,0.005885284899308755,0.989081715866513,0.9997603971154772,0.9940819712258918,median,C/D
10.0,14,0.9946241016070695,0.9940341364986114,0.0071043818637876125,0.9889782807239917,1.0000667558227672,0.9940341364986114,median,C/D
11.0,1,0.9930982217771402,0.9930982217771402,,0.9930982217771402,0.9930982217771402,0.9930982217771402,median,C/D
12.0,13,2.5236777401950214,2.759082184146978,0.5951723643355662,2.6685522151898735,2.766603515883157,2.759082184146978,median,C/D
13.0,14,3.86621871634862,4.197191139641106,0.9100511703534943,4.125691047563988,4.222714261244349,4.197191139641106,median,C/D
14.0,14,3.9641060940540376,4.206320103626843,0.8575856639397901,4.159746100075569,4.21608793471865,4.206320103626843,median,C/D
15.0,14,3.9645553127223656,4.20441784159604,0.8573911097718621,4.157181398471275,4.222183983957214,4.20441784159604,median,C/D
16.0,13,4.190891152939243,4.20283262184276,0.05403070036403987,4.1583554964539005,4.218351405542144,4.20283262184276,median,C/D
17.0,14,4.082552435650563,4.2000950845187095,0.405905631935778,4.146101434304475,4.221369118522335,4.2000950845187095,median,C/D
18.0,14,4.183319874064776,4.2024541048442305,0.05570944856928035,4.1445053621384185,4.216478270999006,4.2024541048442305,median,C/D
19.0,14,4.187928561384047,4.201427836757631,0.05438148324532634,4.166922313797314,4.2255403326107,4.201427836757631,median,C/D
20.0,14,4.186436989569866,4.202411956358677,0.060912257435209095,4.151112488752171,4.221289463489304,4.202411956358677,median,C/D
21.0,14,4.190617559226072,4.20474469823591,0.058068288033417535,4.161252829652355,4.232586847343441,4.20474469823591,median,C/D
22.0,14,4.189915523388982,4.206283448671774,0.05566737926849489,4.156881680909722,4.223532616509567,4.206283448671774,median,C/D
23.0,14,4.186663167531551,4.196809221227463,0.05507295291491108,4.160171093371723,4.217631100691785,4.196809221227463,median,C/D
24.0,14,4.184365582139473,4.199600887319772,0.05863286612334991,4.1560690866064895,4.227153820006158,4.199600887319772,median,C/D
25.0,14,4.1828931409568835,4.202498599751474,0.05778765249356981,4.147897564221955,4.215454311080455,4.202498599751474,median,C/D
26.0,14,4.1835648453488625,4.199122922093721,0.057142188351302595,4.153036350892981,4.215720277830558,4.199122922093721,median,C/D
27.0,14,4.18905242195976,4.204494797447446,0.05824008544879915,4.162189508954084,4.225831827796188,4.204494797447446,median,C/D
28.0,14,4.184006229726184,4.195212791567881,0.05916545810859897,4.151786451397981,4.22341429248581,4.195212791567881,median,C/D
29.0,14,4.189144313411812,4.2033967483457655,0.058423774706051174,4.1625489716000725,4.231630436098344,4.2033967483457655,median,C/D
30.0,13,4.179305997795189,4.195747562296859,0.061282086139985564,4.160530316961262,4.222671462570316,4.195747562296859,median,C/D
31.0,14,4.185719023137162,4.202707252743975,0.05683037969320649,4.164103755290851,4.2202268578305375,4.202707252743975,median,C/D
32.0,14,4.18100333535332,4.197396046492692,0.05487314029348267,4.152619902935532,4.220289949756439,4.197396046492692,median,C/D
33.0,14,4.185256170686266,4.195065292945573,0.05898512085299672,4.158979538044341,4.225426340520058,4.195065292945573,median,C/D
34.0,14,4.186537584442486,4.203227827909814,0.05509399685397935,4.158314020954489,4.227283854076912,4.203227827909814,median,C/D
35.0,14,4.205108804873143,4.215172701780123,0.05731787541028812,4.1815117617761555,4.240211383616221,4.215172701780123,median,C/D
36.0,14,4.195788359174609,4.215825052601404,0.051839351465905334,4.172265652520817,4.226328333085121,4.215825052601404,median,C/D
37.0,14,4.192588999205809,4.21183313578226,0.0570109358526552,4.159149474567876,4.232748483583977,4.21183313578226,median,C/D
38.0,14,4.192741189882743,4.2146526088195895,0.06038025211388589,4.163869949006881,4.230167582877144,4.2146526088195895,median,C/D
39.0,14,4.192546249641956,4.213628251819928,0.056659009330712655,4.166038714513496,4.228739151016084,4.213628251819928,median,C/D
40.0,14,4.196367002997286,4.2128156885370025,0.050272576235890425,4.170406642147119,4.23032293187187,4.2128156885370025,median,C/D
41.0,14,4.193807690811575,4.211145868599201,0.05607871857340775,4.168270705864633,4.236107240822794,4.211145868599201,median,C/D
42.0,14,4.190654469294498,4.21088216881393,0.05661597073872187,4.161151957582714,4.229116171771729,4.21088216881393,median,C/D
43.0,14,4.190363385637682,4.211319860448381,0.056675779454166283,4.156929506838328,4.230326076690184,4.211319860448381,median,C/D
44.0,14,4.193892253451067,4.207094058934864,0.056144205413923905,4.162295479025007,4.23118984727695,4.207094058934864,median,C/D
45.0,14,4.193933239804971,4.218169010232446,0.056450443419791385,4.154359417311425,4.228752677572891,4.218169010232446,median,C/D
46.0,13,4.1922194465161775,4.207914420931092,0.059635063656682044,4.167274776105161,4.237219056302712,4.207914420931092,median,C/D
47.0,14,4.197276096485625,4.223528782326258,0.059870621138088026,4.155168042180803,4.236001172367083,4.223528782326258,median,C/D
48.0,14,4.199942416057143,4.228179297761214,0.058126862891024485,4.17112711640595,4.238119993161954,4.228179297761214,median,C/D
49.0,13,4.191857763030252,4.2043514851032295,0.056645723315137515,4.1650171636449835,4.235533904269224,4.2043514851032295,median,C/D
50.0,14,4.196860244050318,4.212589691790256,0.055860220550595495,4.1645582754102755,4.236832853965129,4.212589691790256,median,C/D
51.0,14,4.196149944901658,4.2160703970327855,0.05564336331710849,4.169700283429674,4.233486468655832,4.2160703970327855,median,C/D
52.0,14,4.198456169128625,4.224620923336618,0.05644589123625784,4.160209659361019,4.236887462558043,4.224620923336618,median,C/D
53.0,14,4.198667241841305,4.213898579032417,0.056436328964090586,4.163047483734221,4.234637847535672,4.213898579032417,median,C/D
54.0,14,4.203776386656809,4.221656880638454,0.057129519460282274,4.162883964469101,4.243808473598684,4.221656880638454,median,C/D
55.0,14,4.205467254826876,4.231835164882744,0.05496024834131744,4.17355039527105,4.245436871689748,4.231835164882744,median,C/D
56.0,14,4.20812842992451,4.222197510921517,0.059069488471965276,4.178825238956219,4.250109856403887,4.222197510921517,median,C/D
57.0,14,4.200263813356253,4.219065377121658,0.05565015174391211,4.165474829046538,4.24345343691315,4.219065377121658,median,C/D
58.0,14,4.203486583923049,4.221592810841021,0.060475934499623844,4.17845123750113,4.243638371971594,4.221592810841021,median,C/D
59.0,14,4.226288533516898,4.243049413664151,0.05691166939085157,4.19141946090061,4.260415876274903,4.243049413664151,median,C/D
60.0,2,4.204269711988408,4.204269711988408,0.09075964219120737,4.172181332762674,4.236358091214142,4.204269711988408,median,C/D
61.0,13,4.117249920906227,4.4250322283609576,0.9981125041801889,4.300920926120854,4.455178756178871,4.4250322283609576,median,C/D
62.0,14,4.260323611004763,4.264510691641387,0.08914608249257622,4.212945865713476,4.289498600885067,4.264510691641387,median,C/D
63.0,14,4.245344941896576,4.2752792678169795,0.061987874919812565,4.213292826517691,4.28634578167223,4.2752792678169795,median,C/D
64.0,14,4.246184779908014,4.266772151063379,0.059108629154354275,4.2184668508287295,4.286368065971165,4.266772151063379,median,C/D
65.0,13,4.256312247351598,4.272429270260729,0.0581567861057479,4.230349907918969,4.293710786198618,4.272429270260729,median,C/D
66.0,14,4.2611907966096005,4.279337425511152,0.06313348548719726,4.21773670978137,4.297663037845382,4.279337425511152,median,C/D
67.0,14,4.255459999135139,4.280026139344671,0.06421163877361621,4.215471480458359,4.296551636565605,4.280026139344671,median,C/D
68.0,14,4.251243532514538,4.27883476843013,0.06379065292576436,4.21944427765023,4.294886352948195,4.27883476843013,median,C/D
69.0,14,4.2530244729900915,4.279626286749178,0.06208959518263338,4.223850984561169,4.2936959543362425,4.279626286749178,median,C/D
70.0,14,4.25153495267625,4.267145951844801,0.06336985807126388,4.220478027616771,4.295459879670176,4.267145951844801,median,C/D
71.0,14,4.249336030107432,4.273429132169385,0.06392495979539553,4.203855324074074,4.300997701929634,4.273429132169385,median,C/D
72.0,14,4.250105616944848,4.260772214920362,0.06343962543528882,4.208028935185185,4.298775287844929,4.260772214920362,median,C/D
73.0,14,4.249244182563915,4.2815414632083755,0.06704109810791571,4.191366898148148,4.292491883402502,4.2815414632083755,median,C/D
74.0,14,4.252765274240064,4.277209845627237,0.062390312664394564,4.209734753258846,4.2989595060748425,4.277209845627237,median,C/D
75.0,14,4.251446015530337,4.268119811914155,0.059844038408616365,4.227313780260707,4.295392901758736,4.268119811914155,median,C/D
76.0,14,4.251930670056297,4.281364942977611,0.06286088519977881,4.21475907821229,4.298743134581734,4.281364942977611,median,C/D
77.0,14,4.252603536418174,4.269023219103444,0.05803008175520225,4.2273347299813775,4.298513704285382,4.269023219103444,median,C/D
78.0,14,4.2527112097898385,4.270192231658363,0.05793634597154779,4.210578445065177,4.298431106315535,4.270192231658363,median,C/D
79.0,14,4.251927310212382,4.2749090740728395,0.06440462287445653,4.2105854283054,4.298071659399318,4.2749090740728395,median,C/D
80.0,14,4.255422039440382,4.271204193169254,0.0630192465656047,4.231538640595904,4.3047585536932464,4.271204193169254,median,C/D
81.0,14,4.2531800368468025,4.277261442124114,0.06146951446751284,4.216509720304229,4.300733310936638,4.277261442124114,median,C/D
82.0,14,4.259048420764133,4.279180112484112,0.06266872647464512,4.234243913857678,4.304728820222193,4.279180112484112,median,C/D
83.0,14,4.256642271340886,4.275282570059454,0.06053666199021506,4.234243913857678,4.300958002057423,4.275282570059454,median,C/D
84.0,14,4.262125678009081,4.269120682297245,0.05800669977735925,4.232575415850931,4.304462190948573,4.269120682297245,median,C/D
85.0,14,4.26940525174692,4.2865351866585595,0.05572153535200652,4.2440956703910615,4.31101703767459,4.2865351866585595,median,C/D
86.0,14,4.26415684886661,4.286758083621301,0.06223621226829469,4.231532821229051,4.315794182379529,4.286758083621301,median,C/D
87.0,14,4.266579946839012,4.27131814925685,0.06055666853124993,4.238451544943819,4.316485269305692,4.27131814925685,median,C/D
88.0,14,4.2656761167275015,4.286650868422033,0.06313195550206012,4.234231039325842,4.315846928196781,4.286650868422033,median,C/D
89.0,14,4.261363345179029,4.274122488010356,0.05624955645986436,4.2216151685393255,4.299142062364592,4.274122488010356,median,C/D
90.0,14,4.267200391776698,4.283805447986887,0.05806531479002702,4.234220505617977,4.300920985378858,4.283805447986887,median,C/D
91.0,14,4.262897167032546,4.281830951628159,0.058132124067591745,4.221573033707865,4.31276364398126,4.281830951628159,median,C/D
92.0,14,4.26532704795769,4.285318609469763,0.06217182584601868,4.235981321018219,4.311971149093952,4.285318609469763,median,C/D
93.0,14,4.26620437225442,4.280595492619494,0.06103797320116172,4.241200564971751,4.313825559499615,4.280595492619494,median,C/D
94.0,14,4.270776490254883,4.2892932186387345,0.060271009768818495,4.241219397363465,4.313306073338428,4.2892932186387345,median,C/D
95.0,14,4.269882001570752,4.286176862059296,0.066069839975064,4.228488700564972,4.318598257978406,4.286176862059296,median,C/D
96.0,14,4.273208536469014,4.295148125939684,0.059920260632938975,4.241219397363465,4.313982775908414,4.295148125939684,median,C/D
97.0,14,4.270112999395609,4.291304086369895,0.06255610530953293,4.228488700564972,4.31903043479716,4.291304086369895,median,C/D
98.0,14,4.270927437875026,4.28577158304727,0.058738017284878756,4.229345574387947,4.316856139069161,4.28577158304727,median,C/D
99.0,14,4.274697922354453,4.291863556373048,0.06474705106064763,4.230270648754494,4.329617062346664,4.291863556373048,median,C/D
100.0,14,4.27377016042256,4.293789991220736,0.065964260069199,4.231487596772224,4.32651253996959,4.293789991220736,median,C/D
101.0,14,4.280328254928622,4.301057069599582,0.06766927265273959,4.239738399621212,4.336817161808849,4.301057069599582,median,C/D
102.0,14,4.283121069590084,4.305908199016316,0.06494587649657153,4.247622710630401,4.332048698366602,4.305908199016316,median,C/D
103.0,14,4.283165041814937,4.297215347036704,0.06636017348175646,4.239738399621212,4.3387096571730375,4.297215347036704,median,C/D
104.0,14,4.281170326573109,4.2960836189238165,0.06720043940731862,4.218421103676759,4.339745479354796,4.2960836189238165,median,C/D
105.0,14,4.284839177426655,4.29620362657028,0.06219201789795975,4.25004439258658,4.334689762732033,4.29620362657028,median,C/D
106.0,14,3.9460293891623457,4.25180753517316,0.8268892965095062,4.198830215988473,4.321531451367119,4.25180753517316,median,C/D
107.0,14,4.298665499842558,4.295044072675771,0.0627208454133965,4.259764698322511,4.347913876770845,4.295044072675771,median,C/D
108.0,13,4.294925121747655,4.308215978108524,0.06926842193701829,4.272253787878788,4.348276589218618,4.308215978108524,median,C/D
109.0,2,4.283705091676948,4.283705091676948,0.1061511400732581,4.2461749961887065,4.321235187165191,4.283705091676948,median,C/D
110.0,13,4.47873329120892,4.513217986589769,0.11360838848324911,4.461544256120527,4.553534624896949,4.513217986589769,median,C/D
111.0,14,4.320031976744525,4.335093754833135,0.10232438838924207,4.262405838041432,4.355782076633239,4.335093754833135,median,C/D
112.0,14,4.302406833328208,4.321877037414678,0.07124599581701462,4.264213533641501,4.351899644615965,4.321877037414678,median,C/D
113.0,14,4.301677816297314,4.310280709201647,0.0692192556977874,4.269518229166667,4.348835761232541,4.310280709201647,median,C/D
114.0,13,4.312424276807965,4.331585249042146,0.06623683971081533,4.265317234848485,4.356658624561068,4.331585249042146,median,C/D
115.0,14,4.326624808810025,4.337345533362118,0.07227175958065228,4.28614461036617,4.3693689426966404,4.337345533362118,median,C/D
116.0,14,4.309122221037766,4.317228568793807,0.07185024433093926,4.252543797348485,4.365134061116625,4.317228568793807,median,C/D
117.0,14,4.314699424346792,4.337934718597731,0.07112893616093875,4.27139274891775,4.361118835390576,4.337934718597731,median,C/D
118.0,14,4.311870745404962,4.3377997952711915,0.06988331412833883,4.267099891774892,4.3612782196638165,4.3377997952711915,median,C/D
119.0,14,4.316983338173313,4.339037688525679,0.07131564278856867,4.269888422412141,4.371616031365724,4.339037688525679,median,C/D
120.0,14,4.315923552275993,4.336602533313682,0.06895313234582458,4.263972619047619,4.370336034205769,4.336602533313682,median,C/D
121.0,14,4.316932330115522,4.336630549268111,0.06808582610987565,4.274354563492064,4.376444459320725,4.336630549268111,median,C/D
