Battery_ID,scenario_id,tau_median,tau_hdi_95_lower,tau_hdi_95_upper,probability_delta_beta_positive,boundary_status
1,R0_full,556.123287169232,533.0397699937452,577.6560130279138,1.0,identified
2,R0_full,579.1318741860437,559.9238690887914,598.1479785473354,1.0,identified
3,R0_full,707.3768332804183,683.0051066445205,735.4344526187701,1.0,identified
4,R0_full,692.3455009241702,669.0920201542629,715.8970568842793,1.0,identified
5,R0_full,537.4516766547381,518.9580638261215,555.4194946210371,1.0,identified
6,R0_full,447.4804693940059,431.20792129133054,464.1869344014371,1.0,identified
7,R0_full,512.3087484600946,496.785545307232,527.5185842943359,1.0,identified
8,R0_full,452.6462511270694,427.150007536051,477.06784513550974,1.0,identified
9,R0_full,607.7858756216784,584.261676797539,630.8485534161284,1.0,identified
10,R0_full,442.624266587758,420.47965173088585,464.90104889940767,1.0,identified
11,R0_full,928.8300985699102,880.3488067382998,974.8137717199372,1.0,boundary_sensitive
12,R0_full,502.18059425108055,462.3267053307612,541.3941269610359,1.0,identified
13,R0_full,435.9650631183242,410.67108980656496,463.0170693088105,1.0,identified
14,R0_full,351.7850184462518,324.7975674246435,376.2823776163491,1.0,identified
1,R4_truncate_75,611.6017431487276,595.0190710013856,628.8983532767741,1.0,identified
2,R4_truncate_75,677.3581123706765,660.8777494472768,693.9136525471263,1.0,identified
3,R4_truncate_75,513.7227011737007,487.34865395759175,538.8317079980282,1.0,identified
4,R4_truncate_75,466.09882597732417,446.9193873719143,485.09034945490447,1.0,identified
5,R4_truncate_75,559.912960989386,549.0372246088003,570.767569221742,1.0,identified
6,R4_truncate_75,502.4812344861532,492.1249867539832,513.3948113390097,1.0,identified
7,R4_truncate_75,463.8604244349194,455.03990454154047,473.6497934676627,1.0,identified
8,R4_truncate_75,598.0394688525248,582.7762000829919,612.4934355601426,1.0,identified
9,R4_truncate_75,472.7108731821287,459.6203152090315,485.9119248236427,1.0,identified
10,R4_truncate_75,449.4503003622975,437.3353591162016,460.05105998352,1.0,identified
11,R4_truncate_75,320.2682191624028,304.6524976665676,336.25224911205623,1.0,identified
12,R4_truncate_75,381.4487805975511,363.6663457912847,400.6602519030857,1.0,identified
13,R4_truncate_75,407.29463358686576,394.6847224534693,419.63336493284015,1.0,identified
14,R4_truncate_75,396.8861742637102,385.8842094080719,407.2040442377741,1.0,identified
1,R4_truncate_90,527.7323944345715,516.8538061351743,538.1604802027013,1.0,identified
2,R4_truncate_90,571.6596289934162,562.6119798153085,579.7434149964878,1.0,identified
3,R4_truncate_90,576.097454362246,563.1607101859556,589.8170230109102,1.0,identified
4,R4_truncate_90,543.9494133798233,529.536224489672,557.3157755790417,1.0,identified
5,R4_truncate_90,501.4112504554185,493.3266328239102,510.37013892388825,1.0,identified
6,R4_truncate_90,454.5900415997843,447.2666540639841,461.3655878539575,1.0,identified
7,R4_truncate_90,454.72858187391375,447.3129135989159,462.4762975045544,1.0,identified
8,R4_truncate_90,483.98797668095654,473.0539387440479,495.8622335686877,1.0,identified
9,R4_truncate_90,471.907640390453,462.2745758193481,481.9485011777715,1.0,identified
10,R4_truncate_90,428.492005216755,419.6052037133521,437.51320926194114,1.0,identified
11,R4_truncate_90,367.7268581133081,354.14631223444826,381.1844124752679,1.0,identified
12,R4_truncate_90,412.38856249446263,398.69466568884786,426.7847333892795,1.0,identified
