model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_90,1,0.9,556.123287169232,533.0397699937452,577.6560130279138,1000.0,443.876712830768,0.3995289944471359,False,False,False,long_post_transition,-28.390892734660497,28.390892734660497,0.0255543588970841,0.4775541959283658,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,2,0.9,579.1318741860437,559.9238690887914,598.1479785473354,996.0,416.86812581395634,0.3769151227974289,False,False,False,long_post_transition,-7.472245192627497,7.472245192627497,0.0067560987275113,0.4481840237444711,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,3,0.9,707.3768332804183,683.0051066445205,735.4344526187701,996.0,288.6231667195817,0.260961271898356,False,False,False,moderate_post_transition,-131.27937891817226,131.27937891817226,0.1186974492931033,0.5084235236893234,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,4,0.9,692.3455009241702,669.0920201542629,715.8970568842793,996.0,303.6544990758298,0.2745519883144934,False,False,False,moderate_post_transition,-148.39608754434687,148.39608754434687,0.134173677707366,0.5935162758147006,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,5,0.9,537.4516766547381,518.9580638261215,555.4194946210371,1019.0,481.5483233452619,0.4253960453580052,False,False,False,long_post_transition,-36.0404261993196,36.0404261993196,0.0318378323315544,0.4674393113052137,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,6,0.9,447.4804693940059,431.20792129133054,464.1869344014371,991.0,543.5195306059941,0.4936598824759255,False,False,False,long_post_transition,7.109572205778363,7.109572205778363,0.0064573771169649,0.4275123013202813,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,7,0.9,512.3087484600946,496.785545307232,527.5185842943359,996.0,483.69125153990535,0.4373338621518131,False,False,False,long_post_transition,-57.580166586180894,57.580166586180894,0.0520616334413932,0.4933903188682804,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,8,0.9,452.6462511270694,427.150007536051,477.06784513550974,993.0,540.3537488729306,0.4898946045992118,False,False,False,long_post_transition,31.34172555388716,31.34172555388716,0.0284149823697979,0.4569167239906065,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,9,0.9,607.7858756216784,584.261676797539,630.8485534161284,996.0,388.2141243783216,0.3510073457308513,False,False,False,long_post_transition,-135.8782352312254,135.8782352312254,0.1228555472253394,0.4223061683120646,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,10,0.9,442.624266587758,420.47965173088585,464.90104889940767,996.0,553.375733412242,0.5003397227958788,False,False,False,long_post_transition,-14.132261371002985,14.132261371002985,0.0127778131745054,0.4031391781904398,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
