Battery_ID,n_observations,cycle_min,cycle_max,tau_median,tau_hdi_95_lower,tau_hdi_95_upper,coverage_50,coverage_50_minus_nominal,coverage_80,coverage_80_minus_nominal,coverage_90,coverage_90_minus_nominal,coverage_95,coverage_95_minus_nominal,outside_90_count,outside_95_count,residual_mean,residual_median,standardized_residual_median,residual_slope_vs_normalized_cycle,residual_mad,residual_iqr,spearman_residual_cycle,spearman_abs_residual_cycle,lag1_acf,max_abs_acf_lag_1_20,mad_scale_bayes_p_value,iqr_scale_bayes_p_value,q95_abs_z_bayes_p_value,q99_abs_z_bayes_p_value,student_t_99_extreme_count_median,pointwise_99_ppi_outside_count,transition_near_coverage_90,boundary_sensitive
1,1061,1.0,1112.0,556.2738655667393,533.5222798349273,577.1528642848327,0.5966069745523092,0.09660697455230915,0.822808671065033,0.022808671065032926,0.8982092365692743,-0.0017907634307257059,0.9264844486333648,-0.02351555136663519,108,78,-0.00024991486720243617,-0.001880890911228228,-0.029161212220342275,0.2853487975461533,0.033959191926276944,0.07021376500603349,0.04134157908966536,0.46732537672904734,0.6529347514969696,0.6529347514969696,1.0,1.0,0.0,0.0,56.0,55,0.9277456647398844,False
2,1065,1.0,1107.0,579.0159002096858,560.1534961249548,599.010730654964,0.504225352112676,0.004225352112676051,0.6910798122065728,-0.10892018779342727,0.8009389671361502,-0.09906103286384982,0.8967136150234741,-0.053286384976525825,212,110,0.017362006275661365,0.0008021195594087871,0.012436010274903625,0.28832121214444567,0.04676043739926694,0.0925367141643223,0.08699809203795895,0.3968008008552947,0.49982238296937304,0.49982238296937304,0.553,0.6405,0.0,0.0,57.0,60,0.6694677871148459,False
3,1064,1.0,1107.0,707.7131755294467,683.2030899620265,734.9562299778732,0.7387218045112782,0.23872180451127822,0.9013157894736842,0.10131578947368414,0.9257518796992481,0.02575187969924808,0.9370300751879699,-0.012969924812030076,79,67,0.01499307404909994,-0.0027630212566047696,-0.04283770459635748,0.21004669381525526,0.024873146177866623,0.04918568881327556,0.038366845126808775,0.3140128686163622,0.5332987709618695,0.5332987709618695,1.0,1.0,0.0,0.0,52.0,52,0.9131652661064426,False
4,1066,1.0,1107.0,692.463675531251,669.2818144579533,715.710600027683,0.7185741088180112,0.2185741088180112,0.8958724202626641,0.09587242026266407,0.9212007504690432,0.021200750469043128,0.9343339587242027,-0.015666041275797293,84,70,0.006101007405400019,-0.00295555126140723,-0.04582267745964908,0.18885574297564975,0.027091963462952062,0.05512011531898198,0.033635633792167656,0.3748898875121131,0.4099316149218276,0.4099316149218276,1.0,1.0,0.0,0.0,50.0,49,0.9090909090909091,False
5,1058,1.0,1133.0,537.345668047081,520.0501966472572,555.190713421774,0.5255198487712666,0.025519848771266562,0.7485822306238186,-0.05141776937618148,0.8204158790170132,-0.07958412098298684,0.8941398865784499,-0.05586011342155006,190,112,0.012461487435440476,0.0005253868898256187,0.008145564689865954,0.23206079885783315,0.04439968179225229,0.08869803577542434,0.05508793908333907,0.5540361231003739,0.546297905820561,0.546297905820561,0.946,0.945,0.0,0.0,52.0,53,0.9183673469387755,False
6,1064,1.0,1102.0,447.27445745170303,430.1297428430443,462.94143104912416,0.48120300751879697,-0.018796992481203034,0.7218045112781954,-0.0781954887218046,0.8073308270676691,-0.0926691729323309,0.875,-0.07499999999999996,205,133,0.02771274065104769,0.0062581552116083294,0.09702603757832048,0.31470183496904613,0.05146437468201315,0.10187512349589589,0.08513848850393044,0.46466010998904245,0.4594947699415652,0.4594947699415652,0.027,0.0625,0.0,0.0,78.0,77,0.8695652173913043,False
7,1066,1.0,1107.0,512.4050317621493,497.32390532294966,526.8240890373639,0.5637898686679175,0.06378986866791747,0.7711069418386491,-0.028893058161350904,0.8621013133208255,-0.03789868667917451,0.9118198874296435,-0.03818011257035647,147,94,0.040291980558110646,-0.001591720600757629,-0.024677934247592164,0.2990389413539653,0.03715697055403444,0.07474037371124331,0.04184511547128282,0.5742437463162617,0.3859912043544846,0.3859912043544846,1.0,1.0,0.0,0.0,67.0,69,0.9183673469387755,False
8,1066,1.0,1104.0,452.10155908275146,428.16580431156615,476.8767884158441,0.550656660412758,0.05065666041275796,0.7879924953095685,-0.012007504690431547,0.8667917448405253,-0.033208255159474676,0.9127579737335835,-0.037242026266416484,142,93,0.003525032375868752,-0.0038625706057557885,-0.059885047281635316,0.243212865573123,0.04110156442491064,0.08330123983644855,0.04021172069350503,0.4580963657350061,0.26216343061429104,0.26216343061429104,0.9995,0.999,0.0,0.0,58.0,59,0.9420289855072463,False
9,1066,1.0,1107.0,607.706630964535,586.1702478833715,631.9606660258653,0.6125703564727955,0.11257035647279545,0.7776735459662288,-0.022326454033771204,0.8649155722326454,-0.03508442776735465,0.9108818011257036,-0.03911819887429635,144,95,0.024262167807270262,-0.001864821090012736,-0.028912066741457534,0.24003377461690723,0.03135320902138661,0.062230616388569304,0.04074743178179485,0.5098927074547455,0.2759305881254676,0.2759305881254676,1.0,1.0,0.0,0.0,65.0,67,0.8551532033426184,False
10,1068,1.0,1107.0,442.5691404976809,418.92283852481575,464.8840194741927,0.6142322097378277,0.11423220973782766,0.8455056179775281,0.04550561797752806,0.899812734082397,-0.0001872659176029856,0.9297752808988764,-0.020224719101123556,107,75,0.012539275358043882,0.003110758819379722,0.0482290054977177,0.23968206477247617,0.03466447425831776,0.06951094128768132,0.056842886186572184,0.44919436743454416,0.4917542482501837,0.4917542482501837,1.0,1.0,0.0,0.0,57.0,57,0.9420289855072463,False
11,1063,1.0,1107.0,929.3984540798772,881.9433635201678,975.5738936104749,0.4760112888052681,-0.023988711194731893,0.7770460959548448,-0.022953904045155293,0.8532455315145814,-0.04675446848541864,0.8852304797742239,-0.06476952022577609,156,122,0.01405096649288364,-0.0028360270490690453,-0.043969581726847104,0.21822847381179897,0.04971698961552029,0.10351436919659163,0.06409049034883718,0.05213405821903645,0.5836445028661001,0.5836445028661001,0.164,0.019,0.0,0.0,48.0,48,0.8914285714285715,True
12,1062,1.0,1107.0,502.59690261336686,463.3992432798108,541.8867182109624,0.6610169491525424,0.1610169491525424,0.8804143126177024,0.08041431261770238,0.9133709981167608,0.01337099811676079,0.9387947269303202,-0.011205273069679778,92,65,0.0035619227180549926,-0.001534387340056842,-0.023789043045769037,0.202019077317057,0.03406647178643096,0.06772558059599354,0.03160579844098288,0.3579108515880053,0.5702905353842906,0.5702905353842906,1.0,1.0,0.0,0.0,44.0,45,0.9152046783625731,False
13,1053,1.0,1113.0,435.8630674600487,409.26736269468756,459.5979110703252,0.647673314339981,0.147673314339981,0.8736942070275404,0.07369420702754037,0.912630579297246,0.01263057929724598,0.9278252611585945,-0.022174738841405417,92,76,0.004291026159717865,0.0030936269442936037,0.047963394003645216,0.22970318659142186,0.032515626955616383,0.06386690272066531,0.060574286586364406,0.4869261312540942,0.49700055141338595,0.49700055141338595,1.0,1.0,0.0,0.0,60.0,61,0.9393063583815029,False
14,1026,1.0,1111.0,351.2158161021631,324.9823886370234,376.2629534833445,0.5672514619883041,0.06725146198830412,0.7787524366471735,-0.021247563352826515,0.8382066276803118,-0.06179337231968818,0.8528265107212476,-0.09717348927875236,166,151,-0.007663347240108682,0.0034865811695299342,0.054055731143768895,0.12759008904168065,0.04003270140645032,0.08065610930932876,-0.006897932126966431,0.3885459224806978,0.411841243463548,0.411841243463548,1.0,0.9995,0.0,0.0,129.0,129,0.9532163742690059,False
