parameter,coordinate,rhat_rank,rhat_split,rhat_folded,rhat_identity,ess_bulk,ess_tail,effective_samples_per_second,mcse_mean,mcse_sd,posterior_mean,posterior_sd,hdi_lower,hdi_upper,is_free_parameter,is_derived_parameter,diagnostic_priority
level,4,1.0022294598710186,0.9997645488392842,1.0022294598710186,0.9999680453263389,13025.912933498043,5787.045496519555,30.462453192473408,2.134130321760439e-05,,-0.408,0.002,-0.413,-0.403,True,False,other
mu_tau,,1.0013389931145509,0.9997116364085943,1.0013389931145509,0.9998766961708274,14066.648577284437,5737.4302086623275,32.8963218200651,0.0009723490803945766,,-0.01,0.115,-0.232,0.222,True,False,smoke_key
tau,10,1.0012663022306314,0.9997007770928404,1.0012663022306314,0.999755890880245,15272.39826984763,6316.661694199873,35.71609297614957,0.00028755010465588104,,-0.356,0.035,-0.424,-0.286,True,False,smoke_key
tau,3,1.0012002815828511,0.9998683268554915,1.0012002815828511,0.9999091520000376,11611.708069429056,6300.013279882329,27.155187920840678,0.0003859891151902652,,0.469,0.042,0.392,0.555,True,False,smoke_key
beta_post,14,1.0011649444615847,0.9996390903642473,1.0011649444615847,0.9998547645531609,9869.490284625106,5880.835756757077,23.08083029296171,0.00010349999901863804,,1.34,0.01,1.321,1.361,False,True,other
beta_pre,12,1.0011532108785939,0.9997875986664284,1.0011532108785939,0.9997902990115347,11408.482656007127,4953.241878727904,26.679924138909033,0.00018019166898809225,,0.298,0.019,0.26,0.336,True,False,other
level,2,1.0011316257077265,1.0000196861030635,1.0011316257077265,0.9998132394812295,13605.420121400142,5962.28479907101,31.817691069180828,3.293138232797537e-05,,-0.215,0.004,-0.223,-0.208,True,False,other
tau,4,1.0011172490516702,0.9997960610079087,1.0011172490516702,0.9998941093454731,12518.85720060459,6434.997306676687,29.27665058438749,0.0003324438848982887,,0.422,0.037,0.349,0.494,True,False,smoke_key
tau,12,1.0011010702871033,0.9998873907843887,1.0011010702871033,0.999856385511014,11678.043197724832,5493.721820558536,27.310319522828447,0.000584464142223392,,-0.17,0.063,-0.294,-0.048,True,False,smoke_key
mu_delta_beta,,1.0010810864156143,0.9995909886291308,1.0010810864156143,0.9997664428494039,11278.889852263308,5302.551448253425,26.376857878733492,0.0008861546045797424,,1.286,0.093,1.1,1.464,True,False,smoke_key
sigma_level,,1.0010298328857155,0.9998590823473268,1.0010298328857155,0.9998180326075202,12248.797252912891,5467.814595536865,28.645087287617397,0.00040362432295974483,,0.174,0.039,0.113,0.253,True,False,other
level,14,1.001026178690155,0.9996889153231959,1.001026178690155,0.9998126911294579,14440.649918802997,5727.018048765969,33.7709628850021,2.4047201255632306e-05,,-0.01,0.003,-0.016,-0.004,True,False,other
delta_beta,12,1.000875967829716,0.9996730019470398,1.000875967829716,0.9999094166825265,9807.366882821767,6320.559873643789,22.935548251752547,0.00019354026292268766,,0.743,0.019,0.706,0.781,True,False,other
beta_post,10,1.000757660483566,0.9997437785177878,1.000757660483566,0.9999460610038892,10668.4192465288,6364.175425055801,24.949208826608714,0.00013242341602954727,,1.324,0.014,1.298,1.352,False,True,other
beta_post,6,1.0007450692282225,0.9997833927410389,1.0007450692282225,0.9999482978264648,9196.548536692293,6165.486430571964,21.507085972519707,0.00018827046655370042,,1.863,0.018,1.827,1.897,False,True,other
